n;p95;p99;p99,9
4;0,7805;0,5256;0,2898
5;0,8204;0,5379;0,3161
6;0,8902;0,5615;0,3634
7;0,9359;0,6140;0,3695
8;0,9825;0,6628;0,4036
9;1,0244;0,7088;0,4420
10;1,0623;0,7518;0,4816
11;1,0965;0,7915;0,5197
12;1,1276;0,8282;0,5557
13;1,1558;0,8618;0,5898
14;1,1816;0,8931;0,6223
15;1,2053;0,9221;0,6532
16;1,2272;0,9491;0,6826
17;1,2473;0,9743;0,7104
18;1,2660;0,9979;0,7368
19;1,2834;1,0199;0,7617
20;1,2996;1,0406;0,7852
21;1,3148;1,0601;0,8073
22;1,3290;1,0785;0,8283
23;1,3425;1,0958;0,8481
24;1,3552;1,1122;0,8668
25;1,3671;1,1278;0,8846
26;1,3785;1,1426;0,9017
27;1,3892;1,1567;0,9182
28;1,3994;1,1702;0,9341
29;1,4091;1,1830;0,9496
30;1,4183;1,1951;0,9645
31;1,4270;1,2067;0,9789
32;1,4354;1,2177;0,9925
33;1,4434;1,2283;1,0055
34;1,4511;1,2386;1,0180
35;1,4585;1,2485;1,0300
36;1,4656;1,2581;1,0416
37;1,4726;1,2673;1,0529
38;1,4793;1,2763;1,0639
39;1,4858;1,2850;1,0746
40;1,4921;1,2934;1,0850
41;1,4982;1,3017;1,0950
42;1,5041;1,3096;1,1048
43;1,5098;1,3172;1,1142
44;1,5154;1,3246;1,1233
45;1,5206;1,3317;1,1320
46;1,5257;1,3387;1,1404
47;1,5305;1,3453;1,1484
48;1,5351;1,3515;1,1561
49;1,5395;1,3573;1,1635
50;1,5437;1,3629;1,1705
51;1,5477;1,3683;1,1774
52;1,5518;1,3738;1,1843
53;1,5557;1,3792;1,1910
54;1,5596;1,3846;1,1976
55;1,5634;1,3899;1,2041
56;1,5670;1,3949;1,2104
57;1,5707;1,3999;1,2166
58;1,5743;1,4048;1,2227
59;1,5779;1,4096;1,2288
60;1,5814;1,4144;2,2349
